experiment_id,timestamp,graph,algo,num_runs,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k
0,2026-08-31T16:21:47,ITCD_d20_b93,SPT,0,0,0.00011801719665527344,none,4916.813761905963,0,4916.813761905963,0.0,0,4916.813761905963,0.0,4916.813761905963,0.0,0.0,2
1,2026-08-31T16:21:48,ITCD_d20_b93,CLEA,0,0,0.1571643352508545,branch,3872.0805222172603,50,3922.0805222172603,0.012748335919358846,25,5645.21982944794,0.0,5645.21982944794,1723.13930723068,0.30523865487788987,2
2,2026-08-31T16:21:49,ITCD_d20_b93,DMST,0,0,0.05080819129943848,branch,3526.8284106964807,26,3552.8284106964807,0.007318113062179402,13,5358.610993307798,0.0,5358.610993307798,1805.7825826113171,0.3369870634137284,2
3,2026-08-31T16:21:49,ITCD_d20_b93,KMB,0,0,0.01329946517944336,branch,3646.3523583280685,22,3668.3523583280685,0.005997242863013023,11,5902.396389562819,0.0,5902.396389562819,2234.044031234751,0.3784977971295186,2
4,2026-08-31T16:21:50,ITCD_d20_b93,MFCS,0,0,0.005248546600341797,branch,3418.25443931733,26,3444.25443931733,0.007548803509752707,13,5087.095460474243,0.0,5087.095460474243,1642.841021156913,0.3229428332771565,2
5,2026-08-31T16:21:51,ITCD_d20_b93,QSTA,0,0,0.1817936897277832,explicit,4144.442681834524,16,4160.442681834524,0.003845744605462246,8,4971.377488573449,0.0,4971.377488573449,810.9348067389255,0.1631207464335253,2
0,2026-08-31T16:21:52,ITCD_d25_b88,SPT,0,0,0.00013184547424316406,none,6117.4929118206555,0,6117.4929118206555,0.0,0,6117.4929118206555,0.0,6117.4929118206555,0.0,0.0,2
1,2026-08-31T16:21:53,ITCD_d25_b88,CLEA,0,0,0.12511467933654785,branch,4371.9305585343955,56,4427.9305585343955,0.012646991469201244,28,6786.418080099426,0.0,6786.418080099426,2358.487521565031,0.34753053727725497,2
2,2026-08-31T16:21:54,ITCD_d25_b88,DMST,0,0,0.026563405990600586,branch,3896.6948147496682,32,3928.6948147496682,0.008145198726014814,16,6185.389489189235,0.0,6185.389489189235,2256.694674439567,0.36484277641428986,2
3,2026-08-31T16:21:54,ITCD_d25_b88,KMB,0,0,0.010250329971313477,branch,4278.94806534302,28,4306.94806534302,0.006501123202601233,14,7369.651434587289,0.0,7369.651434587289,3062.703369244269,0.4155832058583358,2
4,2026-08-31T16:21:55,ITCD_d25_b88,MFCS,0,0,0.005475521087646484,branch,4039.427088313975,32,4071.427088313975,0.007859651985872003,16,6352.509204207451,0.0,6352.509204207451,2281.082115893476,0.35908363806582905,2
5,2026-08-31T16:21:56,ITCD_d25_b88,QSTA,0,0,0.21660685539245605,explicit,4714.144608660053,18,4732.144608660053,0.0038037721770081017,9,6331.387564702348,0.0,6331.387564702348,1599.2429560422952,0.25258964795617894,2
