experiment_id,timestamp,graph,algo,num_runs,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k
0,2026-08-31T16:21:43,TATA_d20_b125,SPT,0,0,0.000137329,none,7640.423725,0,7640.423725,0,0,7640.423725,0,7640.423725,0,0,2
1,2026-08-31T16:21:44,TATA_d20_b125,CLEA,0,0,0.285223722,branch,7058.466834,60,7118.466834,0.008428781,30,15093.05666,0,15093.05666,7974.589824,0.528361485,2
2,2026-08-31T16:21:45,TATA_d20_b125,DMST,0,0,0.056297541,branch,5173.635201,36,5209.635201,0.006910273,18,8009.620005,0,8009.620005,2799.984803,0.349577733,2
3,2026-08-31T16:21:45,TATA_d20_b125,KMB,0,0,0.013156891,branch,5790.263271,32,5822.263271,0.005496144,16,10939.57888,0,10939.57888,5117.315608,0.467779945,2
4,2026-08-31T16:21:46,TATA_d20_b125,MFCS,0,0,0.006197691,branch,4822.095898,32,4854.095898,0.006592371,16,8309.731619,0,8309.731619,3455.635721,0.415854071,2
5,2026-08-31T16:21:47,TATA_d20_b125,QSTA,0,0,0.207962751,explicit,5727.319379,14,5741.319379,0.002438464,7,8269.34852,0,8269.34852,2528.029141,0.305710799,2
0,2026-08-31T16:21:48,TATA_d25_b120,SPT,0,0,0.000166893,none,9336.467258,0,9336.467258,0,0,9336.467258,0,9336.467258,0,0,2
1,2026-08-31T16:21:50,TATA_d25_b120,CLEA,0,0,0.244833231,branch,6184.037054,64,6248.037054,0.010243217,32,11224.46622,0,11224.46622,4976.429167,0.44335553,2
2,2026-08-31T16:21:52,TATA_d25_b120,DMST,0,0,0.061983109,branch,5683.210989,36,5719.210989,0.006294575,18,9822.035432,0,9822.035432,4102.824443,0.417716315,2
3,2026-08-31T16:21:52,TATA_d25_b120,KMB,0,0,0.015324593,branch,6251.031951,38,6289.031951,0.006042265,19,11678.43935,0,11678.43935,5389.407401,0.461483529,2
4,2026-08-31T16:21:53,TATA_d25_b120,MFCS,0,0,0.007857561,branch,5556.03046,36,5592.03046,0.006437733,18,9911.108675,0,9911.108675,4319.078215,0.435781541,2
5,2026-08-31T16:21:54,TATA_d25_b120,QSTA,0,0,0.303733349,explicit,6728.698051,18,6746.698051,0.002667972,9,11594.2056,0,11594.2056,4847.507552,0.418097429,2
0,2026-08-31T16:21:56,TATA_d30_b115,SPT,0,0,0.000157833,none,11426.72475,0,11426.72475,0,0,11426.72475,0,11426.72475,0,0,2
1,2026-08-31T16:21:57,TATA_d30_b115,CLEA,0,0,0.22329092,branch,6757.639037,64,6821.639037,0.009381909,32,14208.5118,0,14208.5118,7386.872762,0.519890673,2
2,2026-08-31T16:22:00,TATA_d30_b115,DMST,0,0,0.064079285,branch,6031.066268,42,6073.066268,0.006915782,21,11857.64072,0,11857.64072,5784.574454,0.487835193,2
3,2026-08-31T16:22:01,TATA_d30_b115,KMB,0,0,0.018529177,branch,6773.977622,46,6819.977622,0.00674489,23,14500.45406,0,14500.45406,7680.47644,0.529671444,2
4,2026-08-31T16:22:02,TATA_d30_b115,MFCS,0,0,0.008995771,branch,5905.102371,40,5945.102371,0.006728227,20,12007.91389,0,12007.91389,6062.81152,0.504901316,2
5,2026-08-31T16:22:03,TATA_d30_b115,QSTA,0,0,0.400016069,explicit,7105.43819,24,7129.43819,0.003366324,12,13008.4137,0,13008.4137,5878.97551,0.451936389,2
0,2026-08-31T16:22:04,TATA_d35_b110,SPT,0,0,0.000168324,none,13905.87089,0,13905.87089,0,0,13905.87089,0,13905.87089,0,0,2
1,2026-08-31T16:22:06,TATA_d35_b110,CLEA,0,0,0.212002754,branch,7231.084205,68,7299.084205,0.009316237,34,17157.35145,0,17157.35145,9858.267248,0.574579781,2
2,2026-08-31T16:22:07,TATA_d35_b110,DMST,0,0,0.070010185,branch,6644.94185,50,6694.94185,0.007468325,25,14336.78686,0,14336.78686,7641.845012,0.533023549,2
3,2026-08-31T16:22:08,TATA_d35_b110,KMB,0,0,0.01978302,branch,7419.356594,56,7475.356594,0.007491281,28,17311.24662,0,17311.24662,9835.890022,0.568179187,2
4,2026-08-31T16:22:09,TATA_d35_b110,MFCS,0,0,0.010097027,branch,7118.262488,52,7170.262488,0.007252175,26,15223.0681,0,15223.0681,8052.805609,0.528987032,2
5,2026-08-31T16:22:10,TATA_d35_b110,QSTA,0,0,0.484727144,explicit,8214.98092,26,8240.98092,0.003154964,13,15673.8602,0,15673.8602,7432.879282,0.474221359,2
0,2026-08-31T16:22:12,TATA_d40_b105,SPT,0,0,0.0001719,none,15822.10973,0,15822.10973,0,0,15822.10973,0,15822.10973,0,0,2
1,2026-08-31T16:22:13,TATA_d40_b105,CLEA,0,0,0.201956511,branch,7672.614614,68,7740.614614,0.008784832,34,19278.13933,0,19278.13933,11537.52472,0.59847709,2
2,2026-08-31T16:22:16,TATA_d40_b105,DMST,0,0,0.07024622,branch,7856.23796,56,7912.23796,0.007077644,28,16174.16121,0,16174.16121,8261.92325,0.510809998,2
3,2026-08-31T16:22:17,TATA_d40_b105,KMB,0,0,0.028083324,branch,9255.718664,54,9309.718664,0.00580039,27,30639.25582,0,30639.25582,21329.53715,0.696150627,2
4,2026-08-31T16:22:18,TATA_d40_b105,MFCS,0,0,0.012293339,branch,7515.868957,56,7571.868957,0.007395796,28,16597.41934,0,16597.41934,9025.550386,0.543792393,2
5,2026-08-31T16:22:20,TATA_d40_b105,QSTA,0,0,0.573150873,explicit,8672.786789,30,8702.786789,0.003447172,15,17879.42515,0,17879.42515,9176.638365,0.513251309,2
