experiment_id,timestamp,graph,algo,num_runs,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k
0,2026-08-31T16:13:43,synthetic_n500_d20_b480,SPT,0,0,0.00167346,none,1619.054078,0,1619.054078,0,0,1619.054078,0,1619.054078,0,0,2
1,2026-08-31T16:14:04,synthetic_n500_d20_b480,CLEA,0,0,19.577631,branch,6619.994005,268,6887.994005,0.03890828,134,11663.21765,0,11663.21765,4775.22365,0.409425923,2
2,2026-08-31T16:14:08,synthetic_n500_d20_b480,DMST,0,0,0.95899725,branch,1643.469603,20,1663.469603,0.012023063,10,2017.993402,0,2017.993402,354.5237985,0.175681347,2
3,2026-08-31T16:14:10,synthetic_n500_d20_b480,KMB,0,0,0.178641558,branch,1973.439328,28,2001.439328,0.013989932,14,4060.69374,0,4060.69374,2059.254412,0.507118868,2
4,2026-08-31T16:14:11,synthetic_n500_d20_b480,MFCS,0,0,0.158593893,branch,1403.165743,24,1427.165743,0.016816547,12,2098.665699,0,2098.665699,671.4999552,0.319965183,2
5,2026-08-31T16:14:15,synthetic_n500_d20_b480,QSTA,0,0,2.036225796,explicit,1332.048942,12,1344.048942,0.008928246,6,1752.676915,0,1752.676915,408.6279729,0.233145065,2
0,2026-08-31T16:14:17,synthetic_n500_d25_b475,SPT,0,0,0.00222826,none,2000.548048,0,2000.548048,0,0,2000.548048,0,2000.548048,0,0,2
1,2026-08-31T16:14:37,synthetic_n500_d25_b475,CLEA,0,0,19.15612411,branch,7389.669892,268,7657.669892,0.034997591,134,14688.84671,0,14688.84671,7031.176822,0.478674532,2
2,2026-08-31T16:14:42,synthetic_n500_d25_b475,DMST,0,0,0.958333015,branch,1913.130349,22,1935.130349,0.011368743,11,2386.299693,0,2386.299693,451.1693438,0.189066505,2
3,2026-08-31T16:14:44,synthetic_n500_d25_b475,KMB,0,0,0.2967484,branch,2866.843271,38,2904.843271,0.013081601,19,8050.71686,0,8050.71686,5145.873589,0.639182035,2
4,2026-08-31T16:14:46,synthetic_n500_d25_b475,MFCS,0,0,0.19756484,branch,1697.285323,30,1727.285323,0.017368294,15,2614.347206,0,2614.347206,887.0618826,0.339305308,2
5,2026-08-31T16:14:50,synthetic_n500_d25_b475,QSTA,0,0,2.587170362,explicit,1627.64736,12,1639.64736,0.007318647,6,2268.522465,0,2268.522465,628.8751047,0.277217931,2
0,2026-08-31T16:14:53,synthetic_n500_d30_b470,SPT,0,0,0.001932621,none,2368.979557,0,2368.979557,0,0,2368.979557,0,2368.979557,0,0,2
1,2026-08-31T16:15:12,synthetic_n500_d30_b470,CLEA,0,0,17.9544611,branch,7972.229041,272,8244.229041,0.032992776,136,18417.36885,0,18417.36885,10173.1398,0.552366621,2
2,2026-08-31T16:15:16,synthetic_n500_d30_b470,DMST,0,0,0.916554213,branch,2201.56486,30,2231.56486,0.013443481,15,2745.173174,0,2745.173174,513.6083137,0.187095051,2
3,2026-08-31T16:15:18,synthetic_n500_d30_b470,KMB,0,0,0.224976778,branch,3067.58685,44,3111.58685,0.014140695,22,8337.947751,0,8337.947751,5226.360901,0.626816221,2
4,2026-08-31T16:15:20,synthetic_n500_d30_b470,MFCS,0,0,0.186838388,branch,2088.36015,34,2122.36015,0.016019901,17,3313.780322,0,3313.780322,1191.420172,0.359535049,2
5,2026-08-31T16:15:24,synthetic_n500_d30_b470,QSTA,0,0,3.01010251,explicit,1949.016507,20,1969.016507,0.010157355,10,2679.95409,0,2679.95409,710.9375827,0.265279762,2
0,2026-08-31T16:15:27,synthetic_n500_d35_b465,SPT,0,0,0.001806498,none,2717.585725,0,2717.585725,0,0,2717.585725,0,2717.585725,0,0,2
1,2026-08-31T16:15:48,synthetic_n500_d35_b465,CLEA,0,0,19.34858346,branch,8301.690485,274,8575.690485,0.03195078,137,20576.90192,0,20576.90192,12001.21143,0.583237043,2
2,2026-08-31T16:15:57,synthetic_n500_d35_b465,DMST,0,0,0.858172417,branch,2441.606091,24,2465.606091,0.009733915,12,3222.555134,0,3222.555134,756.9490424,0.234890952,2
3,2026-08-31T16:16:01,synthetic_n500_d35_b465,KMB,0,0,0.273994923,branch,3417.338624,48,3465.338624,0.01385146,24,9182.68659,0,9182.68659,5717.347966,0.622622575,2
4,2026-08-31T16:16:03,synthetic_n500_d35_b465,MFCS,0,0,0.194261551,branch,2327.102171,38,2365.102171,0.016066959,19,3965.063683,0,3965.063683,1599.961512,0.403514707,2
