graph,algo,base_seed,build_time_sec,placement_mode,transmission_cost,computation_cost,total_cost,computation_cost_ratio,num_activated_nodes,no_lqdc_transmission_cost,no_lqdc_computation_cost,no_lqdc_total_cost,lqdc_cost_savings,lqdc_cost_savings_ratio,k,num_runs,timestamp,transmission_cost_std,computation_cost_std,computation_cost_ratio_std,total_cost_std,no_lqdc_transmission_cost_std,no_lqdc_computation_cost_std,no_lqdc_total_cost_std
TATA_d20_b125,SPT,0,0.011914968,none,107.5722379,0,107.5722379,0,0,107.5722379,0,107.5722379,0,0,2,100,2026-09-01T17:54:39,15.10189003,0,0,15.10189003,15.10189003,0,15.10189003
TATA_d20_b125,CLEA,0,0.277917385,branch,77.6593259,61.54,139.1993259,0.44371568,30,161.4412619,0,161.4412619,32.74331033,0.186501412,2,100,2026-09-01T17:54:39,10.59244806,5.605588842,0.043147096,11.08342319,38.03001293,0,38.03001293
TATA_d20_b125,DMST,0,0.037069082,branch,61.99654544,28.98,90.97654544,0.319121571,14,112.106915,0,112.106915,31.02821579,0.231955131,2,100,2026-09-01T17:54:39,7.515974665,3.923459615,0.035192177,9.29582448,16.92778165,0,16.92778165
TATA_d20_b125,KMB,0,0.013891459,branch,70.41354985,27.96,98.37354985,0.285915271,14,145.7680284,0,145.7680284,51.18598162,0.335218785,2,100,2026-09-01T17:54:39,9.602419219,3.074561642,0.032264791,10.55639004,29.85976825,0,29.85976825
TATA_d20_b125,MFCS,0,0.007110834,branch,60.69872363,28.68,89.37872363,0.32180921,15,121.4191788,0,121.4191788,35.6869477,0.268764725,2,100,2026-09-01T17:54:39,7.126670893,3.064557905,0.030519115,8.34493784,21.43719433,0,21.43719433
TATA_d20_b125,QSTA,0,0.259209156,explicit,71.37441408,8.6,79.97441408,0.10834997,4,122.3638321,0,122.3638321,59.16054982,0.387190202,2,100,2026-09-01T17:54:39,8.902426948,1.287076399,0.016976097,9.258620019,21.40096539,0,21.40096539
TATA_d25_b120,SPT,0,0.00773716,none,133.0232525,0,133.0232525,0,0,133.0232525,0,133.0232525,0,0,2,100,2026-09-01T17:56:13,16.98395321,0,0,16.98395321,16.98395321,0,16.98395321
TATA_d25_b120,CLEA,0,0.217695475,branch,83.95543069,62.96,146.9154307,0.429733442,31,189.7669205,0,189.7669205,65.27628005,0.301393364,2,100,2026-09-01T17:56:13,10.01478778,5.493651065,0.03949882,10.1887811,43.00834902,0,43.00834902
TATA_d25_b120,DMST,0,0.046453714,branch,70.9464624,35.46,106.4064624,0.333992883,17,140.0150631,0,140.0150631,43.69415924,0.270603694,2,100,2026-09-01T17:56:13,7.65487109,3.885793862,0.032649663,9.012835306,19.15545126,0,19.15545126
TATA_d25_b120,KMB,0,0.014875174,branch,80.31406958,34.82,115.1340696,0.303766645,17,177.7673237,0,177.7673237,51.77366238,0.314159044,2,100,2026-09-01T17:56:13,9.9339121,3.608015767,0.030971513,11.21629864,36.94442459,0,36.94442459
